Id,IsActive,IsDeleted,CreatedOn,LastModifiedOn,DeletedOn,OrganizerId,RegistrationNumber,LocationOfOperations,BusinessName,Biography,PreferredEventSizes,HasResidentDJ,ResidentId,HasPartnershipsOrSponsors,PartnershipOrSponsorId,SoundEquipmentType,SoundEquipmentConsole,StageDimensions,HasStageVisuals,StageType,MaxCapacity,AmountOfStages,TechnicalEquipmentProvided,TradingHours
31,t,f,2025-04-09 11:08:25.694109+00,2025-04-09 11:08:25.694111+00,,44,Amsterdam,Amsterdam,Gigevate Archive,"Gigevate is the home of opportunity for electronic music.
Born from the real-world challenges faced by artists and organisers, Gigevate is a purpose-built platform that bridges the gap between talent and event creators, simplifying the booking process while empowering the entire ecosystem to grow.

Built specifically for the electronic music industry, Gigevate enables artists to showcase their profiles, receive direct booking requests, manage their event timelines, and build meaningful connections with promoters and organisers worldwide. For organisers, it offers a curated way to discover and book talent with ease, manage negotiations, and securely process payments through integrated escrow solutions.

Gigevate is not just another booking tool. It is a growing global movement that connects the heartbeat of electronic music culture: from underground artists to leading festival stages, from local community events to international showcases. Our platform exists to give artists more visibility and organisers more efficiency, creating a trusted and transparent space for collaboration.",400,f,,f,,,,,f,,0,0,,
38,t,f,2025-05-28 11:40:06.961454+00,2025-05-28 11:40:06.961455+00,,51,12,Amsterdam,ADE,"The ADE is the biggest international club festival in the world for the whole spectrum of electronic sub-genres with 300 special events and 2,000 DJ’s over five days in 75 clubs and venues around the city. The festival features the very biggest DJ and artist names on the planet, as well as a selection of the best upcoming talent making Amsterdam one of the best and most inspiring clubbing cities in the world. Each year, the ADE attracts 300,000 festival visitors, including 60,000 tourists.",1000,f,,t,"BumaStemra & Heineken
","Funktion-One EVO Series
d&b audiotechnik V-Series
L-Acoustics K2 System
(ADE venues typically use premium club-grade sound systems.)","Allen & Heath Xone:96
Pioneer DJM-V10 or DJM-900NXS2
Midas M32 (for live/hybrid setups)
A&H SQ-5 (for more complex routing needs)","6m (W) × 3m (D) × 1.2m (H) — standard club setup  8m × 4m × 1.5m — for main stages or live acts  3m × 2m riser — for smaller showcases, backrooms or panels",t,,2000,4,"- Funktion-One EVO 7 system  
- Pioneer DJM-V10 mixer  
- 3× CDJ-3000s with Pro Link  
- Allen & Heath Xone:96 + Technics 1210 available on request  
- Stage monitoring: 2× d&b M4s  
- Shure SM58, XLR + DI boxes  
- In-house technician available",Day Events: 14:00 – 22:00  Night Events: 23:00 – 05:00  Extended License: 23:00 – 07:00  Workshops/Conferences: 10:00 – 18:00
39,t,f,2025-05-29 15:20:22.885891+00,2025-05-29 15:20:22.885893+00,,52,222222,"Louwesweg 1 ,1066 EA",RADION,"RADION is a cultural hotspot in Amsterdam. Their current location, known as ACTA, used to be the academic centre of dentistry in the Dutch capital. In May 2015 RADION was granted a 24-hours permit, which allows the space to continue programming a diversity of cultural disciplines. This wider range of possibilities adds a new dimension to their immersive club nights.",400,f,,f,,,,,f,,0,0,,
40,t,f,2025-05-29 15:35:50.662949+00,2025-05-29 15:35:50.662949+00,,53,,,LOFI,"An old GVB bus garage transformed into a club: Lofi was created with the aim of breathing new life into Amsterdam's free-spirited (night) culture.  From warehouse raves to intimate community gatherings, we invite you to come and dance at our multidisciplinary venue. Immerse yourself into the concrete oasis and explore our in- and outdoor areas.",1000,f,,f,,,,,f,,0,0,,
41,t,f,2025-05-29 16:09:36.981925+00,2025-05-29 16:09:36.981925+00,,54,,,Shelter,"Across the IJ river, at a stone’s throw from its historic city center, lies Shelter, a new Amsterdam haven for quality dance music.   Built around the idea of creating a home away from home for veteran clubbers and enthusiastic newcomers alike, Shelter Amsterdam provides a diverse clubbing experience in the Dutch capital - with design, experience and sound quality continually in mind.   Next to its musical cornerstones of distinct House and Techno, Shelter’s programming is set on curating sounds from the vanguard of dance music, showcasing electronica from the defining outreaches of the industry.   Shelter can be found below Overhoeksplein in the most Southern tip of Amsterdam-Noord, easily reachable by the Buiksloterweg ferry, leaving 24/7 behind Central Station.",400,f,,f,,,,,f,,0,0,,
42,t,f,2025-05-29 17:03:44.295232+00,2025-05-29 17:03:44.295233+00,,55,,,Verknipt,"Verknipt is an event organization known for its wild techno events for over a decade! As of 2022, Verknipt focuses on (hard) techno, industrial techno and other rave music, with multiple events throughout the year at various locations, booking well known artists and introducing our visitors to new ones! Together with a sick lasershow and crazy visuals: we have te perfect mix to get you to rave! With roughly 102.000 visitors a year, we have greatly expanded our Verknipt community. Do you also live to rave?",2500,f,,f,,,,,f,,4000,1,"Funktion-One PA System
Pioneer CDJ-3000 (4x)
Pioneer DJM-V10 Mixer
Technics SL-1210MK7 Turntables (2x)
RM-07 Booth Monitors
LED Wall and Laser Rig
Strobe Lights and Smoke Effects
Full Visuals by Verknipt",23:00 – 06:00
43,t,f,2025-05-29 17:56:04.60868+00,2025-05-29 17:56:04.60868+00,,56,,,Awakenings,"Reading the lineup for Awakenings, the long-running Dutch festival, is a bit like scouring an A-to-Z list of who's making it happen in techno right now. Of course, you've got the big names who dominate events on this scale. But this year the promoters are also bringing a deeper element to their sprawling event at Spaarnwoude. From the old school to the new , from Berghain torchbearers to peddlers of a beat all their own.  Awakenings almost certainly has something that'll scratch your itch.",2500,f,,f,,,,,f,,0,0,,
44,t,f,2025-06-06 16:48:17.655691+00,2025-06-06 16:48:17.655692+00,,57,12,Amsterdam,Amsterdam Dance Event,"The ADE is the biggest international club festival in the world for the whole spectrum of electronic sub-genres with 300 special events and 2,000 DJ’s over five days in 75 clubs and venues around the city. The festival features the very biggest DJ and artist names on the planet, as well as a selection of the best upcoming talent making Amsterdam one of the best and most inspiring clubbing cities in the world. Each year, the ADE attracts 300,000 festival visitors, including 60,000 tourists.",2500,f,,f,,,,,f,,0,0,,
46,t,f,2025-06-09 10:37:32.308612+00,2025-06-09 10:37:32.308613+00,,59,13,Beirut,Rooney Nasr,"Born and raised in Lebanon, Roni ""Rooney"" Nasr is a 23-year-old DJ and Producer bringing a fresh, obscure and groovy proposal to the national and international scene. Never afraid to go too deep, his emotive musical selections are his own therapy, having his first contact with electronic music at a young age, Rooney's picks are carefully selected to alter the listener's state of mind into something beyond consciousness.",400,f,,f,,,,,f,,0,0,,
47,t,f,2025-06-09 11:28:42.455526+00,2025-06-09 11:28:42.455527+00,,60,,"Elementenstraat 25, 1014 AR, Amsterdam",Warehouse Elementenstraat,"Warehouse Elementenstraat is one of Amsterdam’s most iconic underground event spaces, originally hosting the first Multigroove parties in the 1990s. Revived in the 2010s, it now operates as a full-scale industrial venue, regularly hosting cutting-edge techno events, audiovisual installations and ADE showcases. With its raw atmosphere and unmatched acoustics, it remains a central hub for global dance culture.",1000,f,,f,,L-Acoustics K2 Line Array,Allen & Heath Xone:96 or Pioneer DJM-V10,Varies by room (Main Hall: ~20m x 12m),t,,3000,3,"Full sound rig, booth monitoring, lighting, LED visuals, rigging and basic backline upon request.",Typically 22:00–07:00 (varies by event)
48,t,f,2025-06-09 11:40:15.886784+00,2025-06-09 11:40:15.886784+00,,61,,,WORM,"WORM Rotterdam is an independent, avant-garde multimedia institute based in the heart of Rotterdam. It curates and presents experimental music, film, performance, and new media through 100–150 events annually. With spaces like the iconic #Wunderbar café, cinema, and UBIK performance zone, WORM is a key player in the Dutch underground, promoting cultural exchange, radical sound, and alternative programming since its founding.",400,f,,f,,Venue-specific multi-room systems (analog + digital; contact production for specifics),Varies per room and setup – request via Dan Fogarty,Approx. 10m x 15m (up to 350 standing),t,,350,4,"Full audio systems, visual projection (digital and analogue), stage lighting, cinema setup, microphones, mixer desks, and modular performance rigs. Tech support provided per event.",Mon–Thu: 12:00–01:00  Fri–Sat: 12:00–02:00  Sun: 12:00–01:00
49,t,f,2025-06-09 11:52:14.591687+00,2025-06-09 11:52:14.591687+00,,62,KVK24464818,"Maashaven Zuidzijde 1-2, 3081 AE Rotterdam, Netherlands",Maassilo,"Maassilo is a beautifully restored industrial venue housed in a 100-year-old grain silo at Rotterdam’s Maashaven. Offering an authentic warehouse atmosphere, it hosts a diverse range of events—from club nights to business conferences—across multiple halls and rooms with capacities ranging from 50 to 5,000. With its rich heritage, panoramic views, and architectural charm, Maassilo remains a top-tier event destination in the Netherlands.",2500,f,,f,,Industrial-grade PA systems—custom per booking; supports full DJ/live setups,Provided on request; standard DJ booths available,"~733 m² (100–1,800 capacity)",t,,5000,12,"Full-site sound system, stage lighting, DJ booths, rigging, bars. AV specialists available; external providers allowed.",Typically until 08:00 (per local regulations and booking specifics)
50,t,f,2025-06-09 12:04:24.160632+00,2025-06-09 12:04:24.160633+00,,63,,"Schiestraat 42, 3013 AH Rotterdam",Perron,"Perron is a vibrant, interim cultural club space since 2011, housed in a former postal building on Schiestraat. Just five minutes from Rotterdam Central Station, it offers an underground warehouse vibe and high-end Funktion-One sound systems, hosting a diverse array of electronic music events and live performances. 
",400,f,,f,,"Funktion-One sound system with a strong low-end setup 
",Standard DJ booth console provided; small hall setup requestable via production contacts,750,t,,750,1,"Full sound system, booth deck setup, basic lighting
Lockers (for €2), earplugs, toilets (sitting & standing)",00:00–06:00 (primarily weekends; check event listings)
51,t,f,2025-06-09 12:24:49.356597+00,2025-06-09 12:24:49.356597+00,,64,,"Zwarte Pad 64, 2586 ZZ ",Colorado Charlie,"A vibrant beachfront club and restaurant in Scheveningen offering a seamless blend of beach relaxation and nightlife energy. Colorado Charlie hosts themed parties, live DJs, dining experiences, and curated group events right by the sea.

",1000,f,,f,,High-quality club-grade PA for live and DJ sets at the beach; systems scaled per event,"Provided – full FOH/booth setup available for weddings, live sessions, and branded takeovers",6 m wide × 4 m deep,t,,1500,1,"Full audio setup, stage lighting, VIP dining furnishings, livestream capability, beach lounge furniture, and mobile bar infrastructure.",Daytime: Beach access & restaurant from morning until sunset  Evening events: generally until midnight (may extend for private bookings/members-only events)
52,t,f,2025-06-09 12:38:11.85883+00,2025-06-09 12:38:11.85883+00,,65,,,PIP,"PIP Den Haag is The Hague’s definitive underground stage, located in an industrial zone behind Central Station. Since 2007 it has hosted a mix of electronic music, art, film, rock, dance, theatre, and discussion nights—spotlighting local and international talent in a flexible, creative setting. ",1000,f,,f,,Club-grade PA suitable for DJs and live acts,"Club-grade PA suitable for DJs and live acts

",6 m wide × 4 m deep,t,,1200,1,"Full PA, DJ booth, booth monitors, basic lighting. Visual/programming varies by event and lineup.",Wed: 18:00–22:00 (some programming)  Sat/Sun: 00:00–05:00 (main club nights)
53,t,f,2025-06-12 08:25:30.73961+00,2025-06-12 08:25:30.739611+00,,66,,,,,,f,,f,,,,,f,,0,0,,
54,t,f,2025-06-13 12:41:41.862427+00,2025-06-13 12:41:41.862428+00,,67,,,YouSawLaurent,"YOUSAWLAURENT delivers relentless hard Kicks, raw basslines, and ritualistic energy. His sets are rhythmically intense, brutally direct, and sonically overwhelming. Known for performing masked, the reveal at the peak of his performance is more than a moment... it’s a myth in motion. More than music. A force.",400 - 1000,f,,f,,,,,f,,0,0,,
76,t,f,2025-10-30 21:37:02.155521+00,2025-10-30 21:37:02.155521+00,,89,,,Tillatec,"Tillatec is an Amsterdam-based electronic music collective and event brand known for curating immersive underground experiences. The team brings together local and international techno talent, combining cutting-edge production, visuals, and sound to create unforgettable nights. With a focus on quality lineups and authentic club culture, Tillatec has hosted events across venues like Club John Doe, RadioRadio, and other key ADE showcases, establishing itself as one of the city’s most exciting promoters in the melodic and peak-time techno scene.",400 - 1000,f,,f,,Funktion-One / L-Acoustics,Pioneer DJM-900NXS2,8m (W) × 5m (D) × 1m (H),t,,800,1,"Pioneer CDJ-3000 (2x)
Pioneer DJM-900NXS2 mixer
Professional PA system (Funktion-One or L-Acoustics, depending on venue)
Full LED and laser lighting rig
In-house sound technician
Visual projection setup",Friday – Saturday: 22:00 – 05:00 Sunday (special events): 22:00 – 03:00
78,t,f,2025-10-31 09:12:10.025488+00,2025-10-31 09:12:10.025488+00,,91,,,The Loft (A'DAM Tower),"Perched on the 16th floor of A’DAM Tower, The Loft is one of Amsterdam’s most stunning event and music spaces. Known for its panoramic 360° views of the city skyline and IJ River, The Loft combines elegant architecture, high-end sound systems, and a sophisticated atmosphere.

By day, it hosts private events, brand activations, and creative showcases. By night, it transforms into an exclusive playground for electronic music lovers — hosting intimate house, techno, and melodic sessions curated by some of the scene’s most respected names.

Designed to deliver an immersive sound and visual experience, The Loft stands out for its flexibility, skyline backdrop, and dedication to quality sound culture.",400 - 1000,f,,t,"Heineken, A'DAM&Co, Sony Music Netherlands, MassiveMusic",L-Acoustics Sound System,Pioneer DJM-V10,Approx. 6m (W) × 3m (D) × 1m (H),t,,600,1,"Pioneer CDJ-3000 (x4)
Pioneer DJM-V10 / DJM-900NXS2 mixer
L-Acoustics sound system
Integrated lighting & LED visuals
Smoke & haze machines
On-site sound engineer
DJ booth with elevated view",Friday – Sunday: 22:00 – 05:00 Private Events: Flexible
57,t,f,2025-10-17 13:13:11.984052+00,2025-10-17 13:13:11.984052+00,,70,KvK,Amsterdam,UNDERGRND,"UNDRGRND was born in 2015 through the visionary initiative of Alexandru Hent in collaboration with John Doe Club. What started as a dream has evolved into Amsterdam's most vibrant underground music movement.
",200 - 400,f,,f,,Pioneer,Djm a9 and 3x3000 cdjs,3x3,t,,350,1,Djm a9 and 3x3000 cdjs,23:00 to 07:00
79,t,f,2025-10-31 09:36:27.367939+00,2025-10-31 09:36:27.36794+00,,92,123,Amsterdam,Club John Doe,"Club John Doe is one of Amsterdam’s most recognisable underground spaces — a hidden gem located in the heart of Rembrandtplein. Known for its intimate layout, dark aesthetic, and cutting-edge sound, the club embodies the raw essence of the city’s electronic scene.

Since its opening, John Doe has hosted a blend of rising local talent and global heavyweights across genres like techno, house, and minimal. Every weekend, it delivers a true underground experience designed for dancers who come for the music first.",400 - 1000,t,Rotating local and international underground selectors,t,"Jägermeister, Red Bull Music, Amsterdam Dance Event (ADE)",Funktion-One,Pioneer DJM-900NXS2,6m x 3m (club floor booth),t,,350,1,"Full Funktion-One system, Pioneer setup, lighting, visuals, and on-site sound technician",Thursday – Sunday 23:00 – 05:00
80,t,f,2025-10-31 09:59:47.193733+00,2025-10-31 09:59:47.193733+00,,93,,,Escape Club,"Escape is one of Amsterdam’s most iconic nightlife institutions, standing tall on Rembrandtplein since 1986. Known for its world-class production, high-energy atmosphere, and massive LED visuals, Escape has become a cornerstone of the Dutch electronic scene.

Hosting both local and international DJs across genres like house, EDM, and techno, the club offers a premium nightlife experience that merges music, performance, and technology. Escape is where Amsterdam’s dance culture meets global club standards.",1000 - 2500,t,"DJ Raymundo, DJ Jean, Mitch Crown, and guest resident rotation",t,"Red Bull, JBL, Amsterdam Dance Event (ADE), Heineken",JBL VTX Line Array System,Pioneer DJM-V10 & Allen & Heath Xone:96 (available upon request),Main Stage: 12m x 6m VIP Booth: 4m x 2m,t,,2000,2,"Full professional DJ booth, visuals, lighting, CO₂ jets, LED wall, and dedicated sound engineer",Friday – Sunday 23:00 – 05:00
84,t,f,2025-11-04 08:24:41.660015+00,2025-11-04 08:24:41.660016+00,,97,123,Amsterdam,Raving Charlie,"Raving Charlie is an Amsterdam-based promoter and event collective curating hard techno and underground rave experiences. Known for raw, high-energy events that celebrate freedom, individuality, and connection, the collective blends local and international acts across intimate club nights and larger-scale showcases. With events hosted at venues like iNN Amsterdam and Panama, Raving Charlie has built a loyal following for their authentic approach to rave culture and commitment to spotlighting emerging artists.",200 - 400,t,"Rotating local residents from Amsterdam’s hard techno scene, including Raving Charlie’s founder and supporting acts.",t,"iNN Amsterdam, Panama Club, and Hard Generation NL.","Funktion-One Sound System (Full Range, Installed at Venue)",Pioneer DJM-900NXS2 / DJM-V10 with balanced XLR output,2 × 12” booth monitors + 1 × 15” sub monitor,t,,300,1,"3 × Pioneer CDJ-3000
1 × Pioneer DJM-900NXS2 mixer
2 × Technics SL-1210 turntables (optional)
Full-range Funktion-One sound system
Booth monitors (2 × 12"" + sub)
LED and strobe lighting with haze/fog machine
Laser and visual projection system (minimalistic rave setup)
DJ booth platform and power distribution",22:00 – 05:00
85,t,f,2025-11-07 17:11:35.989417+00,2025-11-07 17:11:35.989418+00,,98,11,Amsterdam,EnergyEvents,"EnergyEvents is an Amsterdam-based collective focused on creating high-energy club experiences for the culture. Their events bring together curated electronic lineups, immersive atmosphere and a strong sense of community. Built by people who live for the movement, EnergyEvents is shaping nights made for connection, rhythm and shared memory.",200 - 400,f,,f,,Varies by venue — professional club system installed (Function-One / L-Acoustics / HSP range depending on location),Pioneer DJM-900NXS2 (Artist-request mixer possible on advance),Varies by venue,f,,500,1,PA System + Club Standard DJ Booth (CDJs + Mixer). Final equipment depends on venue. Full tech specs provided per event.,Typically late-night into early morning
86,t,f,2025-11-08 15:23:45.825703+00,2025-11-08 15:23:45.825703+00,,99,,,ORVEX,"ORVEX is a Berlin-based underground event series focused on raw, driving techno and industrial energy. Rooted in the DIY rave culture of Berlin, ORVEX prioritises atmosphere, sound, and community above everything else. Their events move fluidly between clubs and warehouse-style spaces, curating lineups that highlight rising talent and established selectors within the darker edges of the scene.",200 - 400,f,,f,,Varies per venue (most spaces use Funktion-One / L'Acoustics / HK Audio depending on booking),Club standard DJM-900NXS2 / Xone:92 depending on venue,Standard booth & dancefloor setup. No fixed stage format.,f,,600,1,Depends on venue / hired per event. Usually club standard CDJ setup + 2/3-way PA system.,Typically 22:00 – 06:00
87,t,f,2025-11-10 17:15:01.667632+00,2025-11-10 17:15:01.667632+00,,100,1,Aberdeen,T.L.F,"T.L.F is a long-standing techno and rave collective based in Aberdeen, Scotland. Known for more than a decade of high-energy events, underground lineups, and community-led dancefloor culture, T.L.F has built a legacy across the Scottish rave scene. Their events focus on raw atmosphere, original selectors, and authentic rave identity. With 13 years of history, T.L.F continues to shape the scene through DIY energy, rave values, and forward-thinking curation.",400 - 1000,f,,f,,We keep this realistic and non-committal since we do not have confirmed specifics:,Venue supplied / varies per location,Varies per venue,f,,500,1,"Venue sound system, lighting, DJ booth setup provided by host venue",Typically late night to early morning depending on venue licensing
88,t,f,2025-11-24 11:12:18.698622+00,2025-11-24 11:12:18.698622+00,,101,,,KOEMPEL Collective,"KOEMPEL Collective is a techno collective based in Limburg, Netherlands. Their focus is on raw, hard and industrial techno, with a dedicated community built around their events. They are best known for the Hard Surface event series and dark, high-energy underground experiences. KOEMPEL brings together local talent, emerging artists and hard-driving lineups that embody the sound of the southern Netherlands techno scene.

As an independent collective, they prioritise authenticity, community and raw atmosphere in every event.",200 - 400,f,,f,,Funktion-One,Pioneer DJM-900NXS2,Standard,f,,500,1,"PA system, DJ booth (2× CDJs + mixer), LED bars, strobes, smoke machines.",22:00 – 03:00
91,t,f,2025-11-25 08:38:40.457793+00,2025-11-25 08:38:40.457793+00,,104,111,Utrecht,EXIST,EXIST Netherlands is a hard house and hard bounce event brand from the Netherlands hosting high energy club nights and rave experiences. Working closely with TENET Agency and ELITE they bring harder styles to clubs across Utrecht Amsterdam and Castricum with lineups that blend rising local talent and established names.,400 - 1000,f,,f,,Professional club PA system suitable for hard dance events,Pioneer DJM club standard mixer,Single main stage with elevated DJ booth LED and laser show strobes and atmospheric lighting to match harder styles,f,,1000,1,Full club sound system DJ booth with CDJ setup and mixer basic lighting and effects additional production depending on venue,22:00 - 03:00
92,t,f,2025-11-25 08:59:06.800022+00,2025-11-25 08:59:06.800022+00,,105,111,Utrecht,TENET,"TENET is a Netherlands-based hard techno and industrial event organisation focused on high-intensity, high-BPM underground rave experiences. Based in Utrecht, their events are known for raw energy, industrial soundscapes and a strong community-first culture. They host recurring nights across Utrecht, Amsterdam and Maarssen, collaborating with venues such as EXIST Netherlands, RAMMEN.MAAR and ELITE Nederland. TENET showcases emerging underground artists and heavy industrial talent, building an environment where fast, raw, and uncompromising music thrives.",400 - 1000,f,,f,,Professional club PA system suitable for hard dance events,Pioneer DJM club standard mixer,Single main stage with elevated DJ booth LED and laser show strobes and atmospheric lighting to match harder styles,f,,600,1,Professional club PA system suitable for hard dance events,22:00 - 03:00 
96,t,f,2025-12-08 18:22:24.688213+00,2025-12-08 18:22:24.688213+00,,109,1,.,UNVOID,"UNVOID is an electronic music platform and collective curating high-quality DJ sets within the underground techno spectrum. With a strong focus on Hard Techno, Schranz, Hard Groove, and Techno, UNVOID operates as a digital broadcaster and community hub, spotlighting unique artists and distinct sounds. The collective is now evolving toward hosting physical showcases and live events, expanding its presence beyond digital releases.",400 - 1000,f,,f,,N/A,N/A,N/A,f,,500,1,N/A,N/A
100,t,f,2026-01-30 09:20:02.226251+00,2026-01-30 09:20:02.226251+00,,113,1,Nijmegen,Duyster Event,"Duyster Events is an electronic music promoter and event curator rooted in underground rave culture, focusing on harder electronic genres and immersive club experiences. Based in Nijmegen, Duyster Events facilitates hard techno, hardtrance, industrial, schranz, neorave, and hardcore-focused events that bring together community and high-energy dance culture.",200 - 400,f,,f,,Venue dependent professional club PA system. Typically Funktion One or comparable high power club system.,DJ mixer provided by venue. Artist requirements to be confirmed per event.,Venue dependent,t,,300,1,"Professional club sound system
DJ booth with standard mixer and decks
Booth monitors
Basic club lighting",Typically 22:00–04:00
101,t,f,2026-01-30 09:58:42.042164+00,2026-01-30 09:58:42.042164+00,,114,12,Nijmegen,20khz Spectra,"20khz.spectra is an underground electronic event project and talent stage concept rooted in Nijmegen’s vibrant nightlife. Through curated dance events and collaborative takeovers, 20khz.spectra creates immersive experiences that push experimental and hard-driven electronic sounds, often collaborating with other 20kHz-branded projects to showcase emerging artists and diverse lineups.",200 - 400,f,,f,,,,,f,,300,1,Venue provided professional club PA system,Typically 22:00–04:00
102,t,f,2026-01-30 11:35:43.000404+00,2026-01-30 11:35:43.000405+00,,115,1,Nijmegen,Rave Resonant,"20kHz Rave Resonant is an underground electronic music project combining club events and a podcast platform focused on high-energy rave culture. Rooted in the Dutch scene, the project explores hard, fast and experimental electronic sounds while amplifying emerging artists and community-driven dancefloor experiences.",200 - 400,f,,f,,Venue provided professional club PA system,"DJ mixer provided by venue
Artist requirements confirmed per event",Venue dependent,f,,300,1,"Venue provided sound system
DJ booth with standard mixer and decks
Booth monitors
Basic club lighting",Typically 22:00–04:00
103,t,f,2026-01-30 11:49:25.369127+00,2026-01-30 11:49:25.369127+00,,116,1,Nijmegen,20kHz Events,"20kHz.events is a collaborative electronic music event collective based in the Netherlands. Focused on underground dance culture and forward-thinking programming, the project curates club nights, collaborative showcases, and community-driven experiences that capture the raw energy of rave and electronic music.",200 - 400,f,,f,,"Venue-provided professional PA system
","Venue-provided professional PA system
",Standard,f,,300,1,"Venue-provided professional PA system
DJ booth with standard mixer and decks
Booth monitors
Basic club lighting",Typically 22:00–04:00 (varies by venue)
104,t,f,2026-01-30 16:42:13.659946+00,2026-01-30 16:42:13.659947+00,,117,,,,,,f,,f,,,,,f,,0,0,,
105,t,f,2026-02-01 05:43:52.526246+00,2026-02-01 05:43:52.526246+00,,118,,,,,,f,,f,,,,,f,,0,0,,
111,t,f,2026-04-14 20:03:01.232927+00,2026-04-14 20:03:01.232927+00,,124,,,,,,f,,f,,,,,f,,0,0,,
116,t,f,2026-05-08 15:29:43.6989+00,2026-05-08 15:29:43.6989+00,,129,,,HIGH TEA Music,"From sold out Drum & Bass events in Amsterdam and more cities all over The Netherlands and Europe to a continuous stream of fresh music, High Tea music is one of the household brands in the European Drum & Bass industry. Or as we like to call it: a ‘living room” for anyone who loves tea, Drum & Bass or melodic bass music.
Founded in 2016 by Dutch Drum & Bass acts T & Sugah and Zazu, High Tea Music focuses on pushing new and established artist in the drum & bass scene. We stand for diversity, unity, experience and simply having as much fun as possible. Enjoy yourself by listening to our music or joining one of our events for a cup of steaming hot Drum & Bass!
Join the Communitea and stay up to date about new music and events",1000 - 2500,f,,f,,,,,f,,0,0,,
109,t,f,2026-04-02 15:51:22.208848+00,2026-04-02 15:51:22.208848+00,,122,1,Amsterdam,Breakthrough Events,"Breakthrough is a house music event series focused on showcasing the next generation of talent while creating a strong, community-driven dancefloor experience.

Based in Amsterdam, Breakthrough blends emerging DJs with established names, giving artists a platform to grow and connect with the scene. Every event is designed to deliver high-quality sound, energy and unforgettable nights.
",200 - 400,f,,f,,,,,f,,600,1,Standard,23:00 - 4:00
110,t,f,2026-04-11 18:50:39.048049+00,2026-04-11 18:50:39.048049+00,,123,,,,,,f,,f,,,,,f,,0,0,,
117,t,f,2026-05-13 17:48:08.153368+00,2026-05-13 17:48:08.153368+00,,130,,,,,,f,,f,,,,,f,,0,0,,
113,t,f,2026-04-26 08:46:22.758262+00,2026-04-26 08:46:22.758262+00,,126,,The Bulldog Palace ,Son🔺ptic,Where Sound Becomes Cognition ,400 - 1000,t,Sonaptic ,t,"The Bulldod Amsterdam
",,,,f,,500,1,,
115,t,f,2026-05-07 19:20:21.759269+00,2026-05-07 19:20:21.759269+00,,128,,,Jungle Kitten,,200 - 400,f,,f,,,,,f,,0,0,,
118,t,f,2026-05-21 20:07:39.226592+00,2026-05-21 20:07:39.226592+00,,131,,,Disturbia,"Amsterdam-based underground techno movement since 2020, Disturbia creates high-energy, community-driven nights that blend cutting-edge music, visual art and immersive rave experiences at venues like RADION, De School, Lofi, Warehouse Elementenstraat and TillaTec.
",400 - 1000,t," Anika Kunst, Mischa Duncan and Mystral",f,,"Disturbia usually works with the in-house, club-standard sound systems of respected Amsterdam venues such as RADION, TillaTec, Warehouse Elementenstraat and similar spaces, focusing on powerful, full-range systems optimised for techno.","Events typically use professional DJ mixers and audio consoles provided by the venue (e.g. club-standard Pioneer / Allen & Heath DJ setups), integrated into the existing PA infrastructure.
",Vary per venue,t,,1200,1,Professional club-standard sound system,21:00–09:00
